priority_score,name,openalex_id,h_index,i10_index,cited_by_count,works_count,2yr_mean_citedness,institution,institution_type,city,paper_count_in_window,top_paper_title,top_paper_link,venues,linkedin_search_url,google_scholar_url
210.0,Caiming Xiong,conf:caiming xiong:salesforce research,0,,,,,Salesforce Research,company,,21,Scaling Computer-Use Grounding via User Interface Decomposition and Synthesis,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Caiming+Xiong+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Caiming+Xiong%22
140.0,Jan Kautz,conf:jan kautz:nvidia,0,,,,,NVIDIA,company,,14,Nemotron-CLIMB: Clustering-based Iterative Data Mixture Bootstrapping for Language Model Pre-training,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jan+Kautz+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jan+Kautz%22
130.0,Zhengyuan Yang,conf:zhengyuan yang:microsoft,0,,,,,Microsoft,company,,13,Elevating Visual Perception in Multimodal LLMs with Visual Embedding Distillation,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Zhengyuan+Yang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Zhengyuan+Yang%22
130.0,Bryan Catanzaro,conf:bryan catanzaro:nvidia,0,,,,,NVIDIA,company,,13,Audio Flamingo 3: Advancing Audio Intelligence with Fully Open Large Audio Language Models,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Bryan+Catanzaro+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Bryan+Catanzaro%22
120.0,Jiang Bian,conf:jiang bian:microsoft research,0,,,,,Microsoft Research,company,,12,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jiang+Bian+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jiang+Bian%22
120.0,Arash Vahdat,conf:arash vahdat:nvidia research,0,,,,,NVIDIA Research,company,,12,Elucidated Rolling Diffusion Models for Probabilistic Forecasting of Complex Dynamics,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Arash+Vahdat+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Arash+Vahdat%22
100.0,Yilun Du,conf:yilun du:google deepmind / harvard,0,,,,,Google Deepmind / Harvard,company,,10,EvoLM: In Search of Lost Language Model Training Dynamics,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Yilun+Du+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Yilun+Du%22
100.0,Yejin Choi,conf:yejin choi:uw =&gt; stanford / nvidia,0,,,,,UW =&gt; Stanford / NVIDIA,company,,10,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Yejin+Choi+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Yejin+Choi%22
100.0,Ming-Hsuan Yang,conf:ming-hsuan yang:google  deepmind / uc merced,0,,,,,Google  DeepMind / UC Merced,company,,10,OpenAD: Open-World Autonomous Driving Benchmark for 3D Object Detection,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ming-Hsuan+Yang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ming-Hsuan+Yang%22
100.0,Li Dong,conf:li dong:microsoft research,0,,,,,Microsoft Research,company,,10,"MoE-CAP: Benchmarking Cost, Accuracy and Performance of Sparse Mixture-of-Experts Systems",,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Li+Dong+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Li+Dong%22
